d16-all,d50-all,d84-all,d16-mud,d50-mud,d84-mud,avgDepth [m],avgTemp [C],avgSpC [uS/cm]
34.95804724,63.46988957,113.5822063,34.95804724,63.46988957,113.5822063,10.5406528,6.181249609,215.7634282
35.85457009,62.98739078,121.191737,35.85457009,62.98739078,121.191737,11.19324961,6.17282064,215.6670531
36.76032556,69.03239298,139.0574397,36.76032556,69.03239298,139.0574397,11.72473414,6.175767414,215.6423967
37.40034715,66.09866528,109.2186764,37.40034715,66.09866528,109.2186764,12.20525898,6.173654351,215.6827023
37.48256864,67.19962966,111.0687729,37.48256864,67.19962966,111.0687729,12.31096495,6.182640732,215.7866434
37.34564262,65.68862121,123.1813237,37.34564262,65.68862121,123.1813237,12.28237922,6.210430908,215.8817526
35.66855601,64.87413512,133.8980619,35.66855601,64.87413512,133.8980619,12.28570757,6.181612636,215.6565936
32.52753658,55.20945869,82.6608049,32.52753658,55.20945869,82.6608049,12.39182279,6.167329404,215.6605867
37.68900123,66.77713892,118.7049224,37.68900123,66.77713892,118.7049224,12.43723443,6.178141351,215.7498648
35.37293234,64.78903255,111.0010625,35.37293234,64.78903255,111.0010625,12.43693876,6.172850426,215.7480585
34.23679995,58.95785591,87.46288753,34.23679995,58.95785591,87.46288753,12.42938854,6.178366993,215.8049982
36.21872473,61.86632347,105.8622693,36.21872473,61.86632347,105.8622693,12.39669106,6.180951233,215.8933829
41.30759115,74.36970659,148.2309383,41.30759115,74.36970659,148.2309383,12.37160022,6.173091717,215.7692286
34.87938849,61.06612822,90.66385275,34.87938849,61.06612822,90.66385275,12.28662311,6.181257881,215.8460781
32.45463465,55.952141,87.00042721,32.45463465,55.952141,87.00042721,12.4356873,6.157138803,215.6951676
32.8334064,56.74918074,95.72973105,32.8334064,56.74918074,95.72973105,12.92579467,6.155820201,215.6882167
34.90028821,60.18740976,102.1374831,34.90028821,60.18740976,102.1374831,13.02864159,6.170369396,215.8225704
41.80053874,80.28257423,376.4029894,41.80053874,80.28257423,376.4029894,13.04175687,6.175700624,215.8696571
37.78645001,69.67616877,122.1162845,37.78645001,69.67616877,122.1162845,13.06905341,6.174354387,215.8537286
38.26013494,69.76615719,138.6210428,38.26013494,69.76615719,138.6210428,13.04941371,6.167748375,215.7624946
42.87132124,78.58920192,158.6800665,42.87132124,78.58920192,158.6800665,12.44935404,6.16483376,215.7229591
40.46589063,71.29978789,115.4797422,40.46589063,71.29978789,115.4797422,11.43467565,6.181922368,215.8290435
39.12375011,69.43332166,144.7675427,39.12375011,69.43332166,144.7675427,10.55283921,6.184395697,215.9134644
33.9578143,59.14959716,94.13940633,33.9578143,59.14959716,94.13940633,9.571865291,6.181249738,215.831062
36.7448147,65.14025555,101.7926822,36.7448147,65.14025555,101.7926822,7.580255078,6.17477124,215.7200755
34.05323248,59.96743087,104.660345,34.05323248,59.96743087,104.660345,5.18331411,6.179763299,215.8657566
35.61230524,57.64085218,96.50357372,35.61230524,57.64085218,96.50357372,3.995517618,6.185326824,215.9069508
25.82648333,43.76661596,67.47915219,25.82648333,43.76661596,67.47915219,2.246219183,6.181598006,215.8022869
26.80080512,43.25926777,66.39494083,26.80080512,43.25926777,66.39494083,2.339643619,6.23356069,216.5149542
32.97431009,61.36504793,191.5140741,32.97431009,61.36504793,191.5140741,4.174771002,6.190851851,215.9845962
33.48664488,57.68781811,94.65559995,33.48664488,57.68781811,94.65559995,4.932473799,6.173747764,215.8166374
34.57139975,60.07475843,115.2053073,34.57139975,60.07475843,115.2053073,5.745217232,6.178400635,215.9026779
