d16-all,d50-all,d84-all,d16-mud,d50-mud,d84-mud,SedConc_all [uL/L],avgDepth [m],avgTemp [C],avgSpC [uS/cm]
25.029797433045303,40.80263997253423,62.945287707848905,25.029797433045303,40.80263997253423,62.945287707848905,347.5201170351864,0.8983324198776759,6.216414176844324,215.16022313978382
27.35869636854792,44.72261369060377,68.63004531211179,27.35869636854792,44.72261369060377,68.63004531211179,280.4918445490444,1.854908855759429,6.244653932286668,215.5956852226667
29.527865571503643,49.95753148227284,79.6165674407311,29.527865571503643,49.95753148227284,79.6165674407311,430.81300121809005,2.8216591347604485,6.202507160188,215.25689300360006
27.02741186574463,44.24156598834377,65.62241454084054,27.02741186574463,44.24156598834377,65.62241454084054,496.4769973312979,3.139599324872578,6.188817950741052,215.22881052105254
28.76611041536657,46.95971602814919,70.27881497581912,28.76611041536657,46.95971602814919,70.27881497581912,413.518940310893,3.334785531396534,6.217234679342225,215.28649590044446
28.143311946256237,46.108985519787986,73.414941916077,28.143311946256237,46.108985519787986,73.414941916077,500.38033432078316,3.4344255652395512,6.202506343824002,215.2638439912
29.457702938679944,47.15736697481954,70.62166244953733,29.457702938679944,47.15736697481954,70.62166244953733,441.0343229667351,3.4279733503567793,6.1926703223800015,215.08421606279998
33.2877349380068,55.34331320880912,88.68859324178939,33.2877349380068,55.34331320880912,88.68859324178939,414.7089939878659,3.4808488661569825,6.220515312312,215.41042785680006
29.364240904319768,48.462909372613055,75.90602449608531,29.364240904319768,48.462909372613055,75.90602449608531,536.9858707153691,3.797395703261977,6.223285983433333,215.3789204926667
29.766249272311878,50.53001815922595,90.07747602651544,29.766249272311878,50.53001815922595,90.07747602651544,450.9414106395793,4.4853980528032595,6.2129741191933325,215.41465851533337
30.313117262944807,51.14289552629454,84.60985396257034,30.313117262944807,51.14289552629454,84.60985396257034,497.2620336337762,5.3422646456676866,6.189433689179999,215.1892070573333
32.15129868004319,53.249575568710576,82.82794364669736,32.15129868004319,53.249575568710576,82.82794364669736,520.6948655897326,6.087048260652394,6.186008970735,215.166266241
30.08563702503955,52.106719986456326,82.93467360535259,30.08563702503955,52.106719986456326,82.93467360535259,587.2957249209873,6.391629922018348,6.190292985952,215.24273865360001
34.31763953650633,58.984743599707386,155.27125020581136,34.31763953650633,58.984743599707386,155.27125020581136,589.3955761585487,6.42119033119266,6.1894649386300005,215.33433243349998
32.815347900878585,54.58493838253005,83.00713220120886,32.815347900878585,54.58493838253005,83.00713220120886,626.941867781902,6.431135940366973,6.2106844215680015,215.56016918240002
32.67447863040017,55.20565665699803,95.15185608783085,32.67447863040017,55.20565665699803,95.15185608783085,582.9419243688052,6.417226754536188,6.215218534419999,215.66234635200001
32.611732666664565,55.00192628559722,85.30120035458546,32.611732666664565,55.00192628559722,85.30120035458546,638.3411772474333,6.363687886340468,6.197540794360001,215.5643933152
30.584602406525093,52.73349698101396,88.64623413264593,30.584602406525093,52.73349698101396,88.64623413264593,549.8218487333335,6.3147044155963306,6.1957529313314295,215.50975909428573
32.480252629130845,55.38537251068142,88.49585223314287,32.480252629130845,55.38537251068142,88.49585223314287,513.5120295658959,6.660025990519878,6.181035187933332,215.35899265466662
33.214077090133216,56.290453633829095,101.15371016823204,33.214077090133216,56.290453633829095,101.15371016823204,529.7962416999284,7.6142661626911305,6.172139216862857,215.3609780497143
32.40730884074744,54.75519768903877,85.69690223858369,32.40730884074744,54.75519768903877,85.69690223858369,656.8422235963391,8.542420941284403,6.179003845726668,215.4534753326667
34.13902769512453,57.77186857912792,93.18901980540787,34.13902769512453,57.77186857912792,93.18901980540787,597.8136930448367,9.162389662181448,6.180351743809999,215.49704604299998
35.272783266986835,58.63517734335287,88.2805299735474,35.272783266986835,58.63517734335287,88.2805299735474,577.1551378924953,9.311716724872577,6.177060867920001,215.46892221866668
34.39276900820692,60.4310836644402,100.23270376004879,34.39276900820692,60.4310836644402,100.23270376004879,601.8396291780975,9.332177794189603,6.189975354302858,215.67765668799998
34.224981646382716,57.208158237916,90.83421028486708,34.224981646382716,57.208158237916,90.83421028486708,598.7264508803678,9.298735816411824,6.19221947034,215.63186910599998
31.923168525094066,52.24230437354026,90.22550902357851,31.923168525094066,52.24230437354026,90.22550902357851,576.0519669227126,9.21039285188583,6.190694729857143,215.6299394902857
33.546567922650524,56.57640864256816,101.33287820959353,33.546567922650524,56.57640864256816,101.33287820959353,533.2405233995944,9.179723727115187,6.190793251950001,215.6114057075
33.249823606203215,59.13778176554431,98.1745303701267,33.249823606203215,59.13778176554431,98.1745303701267,609.9033529609101,9.271260350356778,6.187047070377778,215.6094718395556
34.251426065752575,62.3104162271809,118.01912123534572,34.251426065752575,62.3104162271809,118.01912123534572,629.2248608654534,9.367421034148828,6.179265186407998,215.57982568000003
33.020357062462125,56.38450192603013,93.38100843995916,33.020357062462125,56.38450192603013,93.38100843995916,660.2581748118857,9.414511011824667,6.170318309784001,215.5838637736
34.73240025317671,57.68910924724732,94.37066669031277,34.73240025317671,57.68910924724732,94.37066669031277,541.9882631033872,9.4608587490316,6.173266216913332,215.62870716533334
36.62778676942549,64.48849856643659,109.19725127725593,36.62778676942549,64.48849856643659,109.19725127725593,547.6388606575351,9.480438576452602,6.181575724279998,215.6658434006667
36.892080104039614,64.55190949368685,109.16017769560244,36.892080104039614,64.55190949368685,109.16017769560244,600.5481681873549,9.484968420183485,6.171747095862857,215.57974522057145
35.754237826243454,64.58985529435266,111.2317168266648,35.754237826243454,64.58985529435266,111.2317168266648,653.2336084177297,9.891485918756374,6.170744709980001,215.61463807
