d16-all,d50-all,d84-all,avgDepth [m],avgTemp [C],avgSpC [uS/cm],avgS [ppt]
39.32265477,82.09049669,204.8283658,0.673560871,8.250204092,270.8110641,0.112643507
41.77630298,80.71765333,198.2689364,0.655544806,8.252452537,270.8015803,0.112639216
38.84974085,67.01879418,137.1359667,0.70127944,8.254129244,270.8256351,0.1126501
44.71581632,105.9488349,202.5377492,0.730963115,8.236052755,270.675405,0.112582127
39.53754047,74.67864491,108.2223395,0.721543421,8.247905225,270.7595393,0.112620193
42.79862478,88.7528444,171.4214142,0.704686751,8.258497593,270.8478313,0.112660143
35.86232216,67.49157893,119.8817312,0.71609857,8.255228884,270.8240703,0.112649392
51.09142938,99.1458039,219.7099686,0.715710912,8.264907934,270.8830547,0.112676081
53.60688904,120.3151524,219.8552969,1.015748778,8.252312458,270.8396169,0.112656426
54.64316467,108.8274738,198.1321617,1.454251287,8.238056367,270.7827316,0.112630687
54.39242302,106.1981461,220.2053811,1.943094676,8.240126038,270.7872854,0.112632748
59.05723124,115.3440328,247.1766028,2.526893748,8.23911033,270.767295,0.112623703
52.95178746,98.01109683,209.3518125,3.023369781,8.234710837,270.7759044,0.112627598
56.73667071,102.1368824,252.6279157,3.463900528,8.22221111,270.686056,0.112586946
49.04321357,87.77025788,157.45921,3.701709242,8.218844763,270.6443132,0.112568059
51.24436934,91.67883811,156.0880461,3.649675276,8.223726508,270.6942841,0.112590668
54.53569495,102.8404802,213.3309499,3.642093051,8.225578098,270.7185674,0.112601655
48.40527336,85.76299455,163.6100675,3.649677612,8.22315789,270.7046693,0.112595367
45.43469938,77.71588723,121.0350782,3.62101573,8.223149212,270.6621964,0.11257615
38.78010873,64.97257397,121.386278,3.602490799,8.209660216,270.5549909,0.112527646
39.37936253,69.87051854,136.3545739,3.600536264,8.211319354,270.5578646,0.112528946
42.96743231,74.48343023,139.766475,3.638019157,8.212347554,270.5834453,0.11254052
45.91164836,80.76530314,141.654619,4.397396872,8.210757217,270.542404,0.112521952
50.89270006,90.31757319,227.2738556,5.119297776,8.212268668,270.5655446,0.112532421
48.01359205,86.48720155,140.5390508,5.576404408,8.212300484,270.5656169,0.112532454
40.65220995,67.16657227,104.3139275,6.160328894,8.212992186,270.5815232,0.11253965
46.64971781,84.31710846,220.1901455,6.643044017,8.209159849,270.5555494,0.112527899
50.28567839,95.85643149,177.6809412,6.680060111,8.213882253,270.5753522,0.112536858
43.59519611,72.76121704,136.1805538,6.64346554,8.216157958,270.6035249,0.112549605
41.78275081,68.99602088,121.4901758,6.635329669,8.211034295,270.552252,0.112526407
43.37199311,73.90472535,179.3490377,6.615178813,8.208188851,270.5372776,0.112519632
46.1969712,89.511972,313.7519519,6.648830264,8.21290446,270.5388528,0.112520345
43.93561745,74.34726587,136.6853376,6.230409786,8.212727523,270.5408679,0.112521257
48.27259412,90.36728479,180.7271299,4.979439588,8.215334343,270.578856,0.112538444
46.5425087,90.81444942,202.792905,3.095083395,8.237061344,270.7299722,0.112606816
31.10010747,57.34370647,99.89852268,1.700698849,8.243713315,270.8083616,0.112642284
47.22238668,101.4377028,246.5951307,1.110433522,8.217865621,270.3298534,0.112425791
46.55095527,103.7384877,375.0457679,1.852201804,8.218364849,270.3439813,0.112432182
40.42571915,66.8232265,109.9829327,3.996567779,8.207583091,270.3122514,0.112417828
51.72666903,95.57816914,218.5391229,6.288001175,8.203960266,270.3309565,0.11242629
44.01838446,73.62033453,131.3179782,7.201578191,8.211177487,270.4140708,0.112463891
43.30254684,73.82411305,161.0910103,7.820531708,8.203820461,270.3666059,0.112442418
48.16839323,87.40165512,213.5845107,8.646874006,8.202301826,270.3781979,0.112447662
44.06560591,80.43929839,162.6258452,9.63449853,8.208864517,270.4195014,0.112466348
40.76908092,70.54785846,174.7498808,9.663321715,8.202337934,270.396034,0.112455731
40.48536437,64.52222629,117.6888427,9.634681258,8.202250331,270.3981844,0.112456704
39.49729869,67.46622634,120.221322,9.690882253,8.203364944,270.4219173,0.112467441
38.68031776,70.95410263,153.4860955,9.859821838,8.205534658,270.4076258,0.112460975
46.00883135,79.28465245,158.4220148,10.5756108,8.2043586,270.4280927,0.112470235
39.57340406,64.83864955,132.6845281,11.43177541,8.203308238,270.4306209,0.112471379
37.83267828,63.77648694,125.8341693,12.14915117,8.203790851,270.4569572,0.112483294
38.56700639,63.6780798,100.6173991,12.42386161,8.203470401,270.473228,0.112490655
36.74816952,58.19709084,88.23241054,12.4263111,8.202465256,270.4715713,0.112489905
43.8423252,73.95480023,130.748629,12.47820867,8.205120192,270.4807392,0.112494053
42.48413425,71.57222399,124.7219045,12.57653665,8.203583866,270.4856641,0.112496281
43.11085387,70.96621463,145.8863929,12.58392363,8.203826127,270.482728,0.112494953
47.98529062,83.49949019,198.3661323,13.78720169,8.201965197,270.4857452,0.112496318
37.30343267,59.72004539,96.54838784,15.19543744,8.200734032,270.5082846,0.112506515
39.47049511,71.72876798,165.8814388,15.42817731,8.200873865,270.5097883,0.112507195
37.12834886,61.9534522,97.53815164,15.36364348,8.202276339,270.5342999,0.112518285
43.31827662,73.09592646,133.5294715,15.44873464,8.203161364,270.5259304,0.112514498
39.66427423,63.41706809,110.1150227,15.41702201,8.204595798,270.5401564,0.112520935
36.33453199,57.97878207,92.49772812,15.48430085,8.203373023,270.5242852,0.112513754
37.46234091,63.00704949,146.4828137,15.85027296,8.202787538,270.561394,0.112530543
42.25140802,71.56086018,150.028537,16.15350909,8.203574616,270.5748584,0.112536635
39.67805108,67.78042541,131.7055433,16.32973639,8.205448241,270.5696393,0.112534274
