d16-all,d50-all,d84-all,SedConc_all [uL/L],avgDepth [m],avgTemp [C],avgSpC [uS/cm]
47.74722830536491,79.74435216608671,140.15741013787704,260.5201406397463,4.055391679102956,27.821461069837504,443.9219974137501
72.43095116183974,147.2875362088741,296.1017178640978,408.9496064070538,7.675069817838939,27.81063878417778,443.8129245402223
54.847661550198495,100.01463020207544,179.99540949267487,728.0004605871369,10.41864498817533,27.80988512304762,443.8463092312381
56.88122141384498,103.61759165523172,243.0021931517324,618.2734581869533,13.099064366972476,27.817284679600004,443.9224834445
47.661188950747274,84.34441817525519,138.24892004401477,646.7277930008478,15.258885285423037,27.815651224933337,443.9346199589334
44.09861058797325,72.73330390641631,149.779920713517,527.8523531371894,17.15147265953109,27.801550186984617,443.8391409052308
46.42042443578429,77.29377794029783,131.91349489761475,465.29045187843633,18.747785022426093,27.8010371336,443.7904247003334
43.92575165846693,73.1327830115712,120.86182418066284,526.5919348261451,20.398012939857292,27.800659373353845,443.81155893538465
52.80426903606816,92.48079000143845,165.12429916531323,516.2549457874915,21.9437594872579,27.803299865766665,443.8253411846666
54.28209175084636,92.68996194153321,150.14333150396575,669.6551262516998,22.320995119266055,27.802932472499997,443.85421074725
49.297973342919796,87.29649028030259,143.52832885598693,801.4368950368546,21.28062975433231,27.8027553559,443.8490182486666
42.63430151804208,71.09822138292161,122.30044123552679,714.8843490611816,20.62902698776758,27.802221954106667,443.86071745226667
52.69615670183444,88.77642209554318,144.8580368927067,562.8967261272469,20.651405132517834,27.80401692884,443.8146818863999
47.11222349026372,83.00996939897253,203.7505040879251,649.7927073817041,20.52650034556575,27.803056440324998,443.74154815725007
48.98621226630409,79.67672769412191,138.35387679745054,645.8135024136493,20.30698060448522,27.802972494153845,443.8341441006154
48.212727635366655,81.27246653530563,186.83426196269735,641.1560469547073,20.33082867482161,27.8085790142,443.7985035842857
44.16003076119308,74.59932436812899,232.87392405634722,639.342978554708,20.552958559633023,27.802991315784613,443.758499007077
49.153233851288164,81.09280601456865,137.7308743244329,616.0054931364732,20.23060535779816,27.80237158172,443.7421306112
52.77248054363451,91.14943027691945,168.62401385338828,654.02609670738,18.82913480122324,27.804349859824004,443.7695128424
62.83042855089899,118.08485694834043,203.76903239258212,665.3547312401373,18.18403692456677,27.807336638714283,443.7932870045715
60.95341005424208,103.71009627300926,163.15072451463342,911.5160482078494,18.234769352701328,27.806134563222223,443.7472883457777
63.250832976731466,109.83520464008915,207.8072421151344,680.3812830604053,17.94395944852191,27.80992617585263,443.7570425541053
59.46553462105103,97.95882529435607,162.70652620210845,892.1397363359404,16.409799642201833,27.803856099444438,443.7793832704445
57.027356708934335,100.24589410477112,183.53400464384976,716.4097933732173,14.348737439347603,27.80453179382609,443.7000050940869
72.13568759104989,131.46483608967668,214.07088088039256,642.5708688052121,14.45997799898063,27.80564672927619,443.76706990438095
79.50414784515354,167.24408912690595,274.05771137447954,900.1464805844572,14.47755307951071,27.810551986609525,443.7603684746667
72.35509749121121,126.66380353739524,225.3091885749255,1283.0390465233916,14.467868160040773,27.809154779684214,443.7589743507368
72.11159849673449,125.83713904513478,230.05812256389643,1161.8242089904488,14.471088474006116,27.808994759347367,443.8244891692631
59.90820910162365,101.96313817467231,156.61256143485528,1170.297989942075,13.998674601427114,27.808395017576466,443.76427353952954
58.359176245522214,100.01351844755594,170.26653006564948,693.2867565484538,12.444558211009173,27.805880183659998,443.7201515508
60.22761031493518,105.06753096978603,169.47150185175653,617.9627826009668,10.76408823853211,27.806345461811762,443.7337969623528
63.87277096408931,117.44390833735605,178.65094011588633,543.3128076213575,10.432054796126401,27.80819903068889,443.727202146
63.50810665219307,108.51674276158685,158.9605712054744,650.6719466730699,10.404129134556577,27.80859613402,443.7625842916001
67.83622996165145,118.46194291689149,194.71683513009344,586.2747516865437,10.346790016309887,27.8116532752,443.74987984704774
62.43201894129612,121.21999566795058,250.18019211414648,864.8966803978896,9.97679411427115,27.807149597480006,443.7274395726001
58.701074619327365,103.41867336943558,163.05146509192733,708.4970306245178,8.446472101529052,27.806499146177785,443.7092721919999
59.71577354355995,108.75998816924185,168.12502436454895,576.1601276594462,6.713474058511721,27.81792268122222,443.7250396055556
74.69911340805805,146.3252270339498,351.1192021234463,533.3174057145154,6.300774114576963,27.8380716589,443.860313292
73.92930261856984,136.49309788069985,288.68210276605913,703.0655489338901,6.349281256167176,27.837438955283332,443.864807376
79.99458426142849,180.82236853759565,278.49922909299016,923.8186349284,6.3471932281345556,27.83529359458,443.9619664942
61.92629770385345,114.52247884090207,190.40319926656855,867.0361620789461,6.271554454026504,27.832870174727272,443.86087086327274
52.18952206798807,88.85683596144386,170.31141391061257,600.7724789272709,5.4449333960244655,27.820154014019998,443.84713141119994
50.31407629476642,86.7059962604726,134.1473745273398,471.8886601816013,3.575782563812436,27.83110203626666,443.95421323806056
48.99848066046221,80.63755897423046,172.79301417814963,313.1902904473242,2.4719789018348624,27.840056518666668,443.9201093388572
63.34678246455196,116.98616327676348,215.83429167809288,329.4849269871515,2.5448584688073392,27.841026338628573,443.942556963619
67.06870840878409,126.6730359356225,201.04559187959856,589.7503057043908,2.5233478922528025,27.838250763119994,443.9817879652
46.656696265381306,79.43280843717702,134.86202309546627,639.326951005684,2.013333949643221,27.81293039385263,443.89410104863146
46.05217375917963,73.94831273112972,116.4674634084324,412.30638387762383,0.8821674579001021,27.830002802193103,444.02632555379313
49.49110511015111,79.10200188183275,118.12738965828379,443.9498373580422,0.56683209745158,27.819842829670588,443.9682034825883
