d16-all,d50-all,d84-all,SedConc_all [uL/L],avgDepth [m],avgTemp [C],avgSpC [uS/cm]
52.900729857481544,92.51840741617846,182.53260121619107,230.15070812103104,1.8384163688073394,27.69457699468236,397.160506306353
58.34175188782188,102.82237015166135,175.2876894237359,315.4640223954934,4.043910471559632,27.664759849388236,396.9989314508235
59.94477895409055,104.40198113432683,163.48159516037887,352.16653656124805,6.370178036595311,27.664635411452636,397.05160869368416
61.82476604145138,108.12656084259298,166.55607876050968,355.05853106359143,8.954276300407747,27.6639395069,397.04222168240005
71.94475122686461,146.74093144881817,265.6394865775704,395.32637453182963,11.596349893985728,27.66324049701053,397.0171175991579
55.3327998398238,93.75944311930776,154.50716631286224,662.8443598934043,14.17536457288481,27.6585770939158,396.9333865496843
64.0160532783647,125.93544659498117,337.3445596672127,506.6223905188344,15.718063498470947,27.659077895342858,396.88624895657136
59.19172547908396,101.85677372594148,211.61403922763844,850.8812677136563,15.730866959225278,27.658299691514287,396.89136483371425
72.84039951063916,130.61799278833047,238.72876069314324,675.493153126024,15.782759866462793,27.659149906070585,396.9336366162353
68.21451685861297,132.22005098464524,258.78120742605586,827.217500260402,15.727853570846074,27.659314482631583,396.9046698997895
66.90277339315534,117.73985397872956,221.84513068350898,885.0620964263011,15.225679515800206,27.657980716126314,396.9154506328421
65.54429984831329,125.09682687141412,252.3867837648916,693.9024154941578,14.647670220183485,27.660773499642108,396.93900249473694
55.90408752851757,93.72064257690113,167.6618368360132,654.8342190398301,14.652347240570844,27.659346283980955,396.89891950609524
68.17526021171533,122.55326311830095,226.12802179991093,524.9657817484979,14.620052070336389,27.658546242649997,396.88999840325005
72.56555592973882,133.61213056935426,220.51235149469477,627.452204071683,14.615077074413861,27.659857868342858,396.9148585693334
67.57896765678444,123.992502320547,235.57843981891222,791.4839170301814,14.709515109072374,27.66000336064762,396.94697039085713
75.94892234688139,136.8777415491822,356.20126794868946,701.9480884181684,14.409851233435269,27.660340355800002,396.9346482355555
82.62059351057579,165.24816895159373,290.61369006289357,783.7811259898631,13.080613042813454,27.661452868848002,396.97315484047994
78.17450146214217,155.33879215535464,264.9630318212328,758.3256647780088,12.212997640163097,27.662425925133334,397.0019509366666
78.39765306834792,140.1407301545258,262.1041076478491,723.0187518974751,12.089418685015287,27.66068694456667,396.96207601083336
70.52028331005421,124.34960559232243,204.4203768010045,795.0276188974276,11.47577311111111,27.66211928075,396.99487889899996
74.96636437540374,133.92231851677903,258.4477012299943,575.7554355732835,9.915707542507647,27.665595194751514,397.07102687212125
75.68544357289711,130.5634022203279,225.18406241875712,549.2119137416096,9.188579024362895,27.66471721491852,397.0555054149629
75.04788869241534,141.13996980937955,507.84780939706604,632.0906066239094,8.32274010346585,27.663263708446152,397.03164104461547
73.48542746060184,147.0071471042872,237.19849977120035,709.2312520054418,6.799970446075433,27.664900311528573,397.0640520365714
92.23240795885044,183.69516199940003,345.2608785416376,506.6734087247031,6.297615568909276,27.66507639863333,397.07695358216665
94.00993128838434,198.05395755299062,330.5161508998659,1106.542467687978,6.307482096534148,27.664363045269567,397.0567006526956
63.98463608833449,113.37896551913383,186.4197308710125,1208.5140455546853,6.039992205810397,27.662443633539997,397.00866101059995
57.535705204191004,95.18965124634252,155.2941366823873,502.44696154021597,4.436573646075432,27.663771274174998,397.012528265875
63.90536256089382,109.8696896491213,191.39281133780585,344.36278380868356,3.2967877805300714,27.672127682400006,397.13354936363623
63.23772640069602,109.74418808078697,184.1362130478333,337.5290866282916,3.329369242201835,27.667823230032006,397.0865593292799
45.139413896966246,89.79802024383686,139.51434881265618,388.25967027596795,1.8492955184505604,27.695147210537936,397.34316107131036
46.10900130028576,87.00735261281551,154.23130689269766,138.69464351328148,0.389461021304791,27.79377717249697,398.0675433556364
43.086993341684924,81.7601691611194,153.68003140757892,142.7966409351071,0.3878053102956167,27.76730622884706,397.8335619437647
