depth,c_mg_l
20.5,0.0
20.0,151.1047838062235
19.0,147.4745322414582
18.0,150.30505366525728
17.0,154.9695070730459
16.0,155.6767282239726
15.0,148.45082767334233
14.0,168.22208172777468
13.0,161.25321574419706
12.0,158.36196324650402
11.0,155.07754163729572
10.0,153.40789990759438
9.0,154.24652032031716
8.0,167.93725453317435
7.0,159.75736389927258
6.0,167.98953079670247
5.0,164.47764146845267
4.0,165.93708467300877
3.0,164.07031121219572
2.0,162.5213266623358
1.0,160.4830314522992
